ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:    3648        58.2238       209.9672       670.4508        10.3954         -10516.0032       671.2961         0.0000         0.0000         0.0000          -8895.6699         0.0000     -8895.6699     -8895.6699         0.0000            460.3219       459.7121   1000000.0000       460.3219       459.7121
ENERGY:    3649        58.3020       210.1003       670.5560        10.5213         -10516.8626       671.4159         0.0000         0.0000         0.0000          -8895.9671         0.0000     -8895.9671     -8895.9671         0.0000            459.6146       459.1467   1000000.0000       459.6146       459.1467
ENERGY:    3650        59.0646       210.6745       670.7079        10.6941         -10517.1914       671.7202         0.0000         0.0000         0.0000          -8894.3300         0.0000     -8894.3300     -8894.3300         0.0000            458.7087       458.4006   1000000.0000       458.7087       458.4006
ENERGY:    3651        58.1980       210.0042       670.5146        10.4726         -10516.6253       671.3562         0.0000         0.0000         0.0000          -8896.0796         0.0000     -8896.0796     -8896.0796         0.0000            459.8825       459.3604   1000000.0000       459.8825       459.3604
ENERGY:    3652        58.2048       210.0115       670.5185        10.4772         -10516.6519       671.3613         0.0000         0.0000         0.0000          -8896.0787         0.0000     -8896.0787     -8896.0787         0.0000            459.8568       459.3397   1000000.0000       459.8568       459.3397
ENERGY:    3653        58.1987       210.0049       670.5150        10.4730         -10516.6279       671.3567         0.0000         0.0000         0.0000          -8896.0796         0.0000     -8896.0796     -8896.0796         0.0000            459.8800       459.3584   1000000.0000       459.8800       459.3584
ENERGY:    3654        58.1985       210.0047       670.5149        10.4729         -10516.6271       671.3565         0.0000         0.0000         0.0000          -8896.0796         0.0000     -8896.0796     -8896.0796         0.0000            459.8808       459.3590   1000000.0000       459.8808       459.3590
ENERGY:    3655        58.1987       210.0049       670.5150        10.4730         -10516.6279       671.3567         0.0000         0.0000         0.0000          -8896.0796         0.0000     -8896.0796     -8896.0796         0.0000            459.8800       459.3584   1000000.0000       459.8800       459.3584
ENERGY:    3656        58.5677       210.2929       670.6276        10.5731         -10517.7356       671.3432         0.0000         0.0000         0.0000          -8896.3311         0.0000     -8896.3311     -8896.3311         0.0000            460.3401       459.7935   1000000.0000       460.3401       459.7935
ENERGY:    3657        59.6292       211.0402       670.7903        10.7382         -10518.3487       671.5262         0.0000         0.0000         0.0000          -8894.6246         0.0000     -8894.6246     -8894.6246         0.0000            460.5999       460.0484   1000000.0000       460.5999       460.0484
